id,category,sub_category,name,expiry_date,expiry_dates,dlc_type,observation,created_by,created_at,updated_at,store_id
01ded913-1eaf-4dde-84e0-f6ec10fc529d,DLC Positiva,SOBREMESAS,Cob Maracujá,2025-11-11T00:00:00Z,"[""2025-11-11T00:00:00Z"",""2025-12-07T00:00:00Z""]",Primária,,b43d96a9-8590-4562-a848-546a1f33fe18,2025-11-11 17:38:24.48959+00,2025-11-11 17:38:24.48959+00,f1520445-f10b-4b3c-9f10-db4f29d82724
021c7e85-641e-4fc0-9447-791c3d8a196a,DLC NEGATIVA PROTEÍNAS,,Carne Royal,2026-01-10T00:00:00Z,"[""2026-01-10T00:00:00Z"",""2026-01-14T00:00:00Z""]",Primária,,b43d96a9-8590-4562-a848-546a1f33fe18,2025-11-11 17:07:08.37846+00,2025-11-11 17:07:08.37846+00,700016e3-f251-4494-920d-c769c0e6c732
02347d85-cfe3-4629-978b-494318aa8805,DLC Positiva,BEBIDAS,Compal ML,2026-09-01T00:00:00Z,"[""2026-09-01T00:00:00Z""]",Primária,,b43d96a9-8590-4562-a848-546a1f33fe18,2025-11-11 00:06:11.70997+00,2025-11-11 00:06:11.70997+00,f1520445-f10b-4b3c-9f10-db4f29d82724
02f86cc9-d9d4-41f3-93cf-a0a24acd018e,DLC NEGATIVA OUTRAS,,Produto promo,2025-12-01T00:00:00Z,"[""2025-12-01T00:00:00Z""]",Primária,,b43d96a9-8590-4562-a848-546a1f33fe18,2025-11-10 23:19:16.562368+00,2025-11-10 23:19:16.562368+00,700016e3-f251-4494-920d-c769c0e6c732
03afc589-6d6a-48c3-ab98-281698d1a3f2,Outros,,Lipton Stevia,2025-12-01T00:00:00Z,"[""2025-12-01T00:00:00Z""]",Secundária,,b43d96a9-8590-4562-a848-546a1f33fe18,2025-11-10 23:19:27.562682+00,2025-11-10 23:19:27.562682+00,700016e3-f251-4494-920d-c769c0e6c732
03b8fece-df9d-429b-a4f6-bab9fe89b0ed,DLC stock,MCCAFÉ,Chá tília,2025-12-01T00:00:00Z,"[""2025-12-01T00:00:00Z""]",Primária,,b43d96a9-8590-4562-a848-546a1f33fe18,2025-11-10 23:19:21.56554+00,2025-11-10 23:19:21.56554+00,700016e3-f251-4494-920d-c769c0e6c732
0444c0fc-01ba-40cd-a242-61ee6cb0f808,DLC Positiva,BEBIDAS,Bongo 8 frutos,2026-09-01T00:00:00Z,"[""2026-09-01T00:00:00Z""]",Primária,,b43d96a9-8590-4562-a848-546a1f33fe18,2025-11-11 00:06:11.894808+00,2025-11-11 00:06:11.894808+00,f1520445-f10b-4b3c-9f10-db4f29d82724
076a3b9f-d2a5-4de8-b2ad-b5d3695d8a76,McCafé,,Leite pacote,2025-11-11T00:00:00.000Z,"[""2025-11-11T00:00:00.000Z""]",Secundária,,b43d96a9-8590-4562-a848-546a1f33fe18,2025-11-10 23:19:24.249171+00,2025-11-10 23:40:44.392358+00,700016e3-f251-4494-920d-c769c0e6c732
0847d05a-9a13-4668-be4a-d811181ec04a,DLC Positiva,MOLHOS,Molho Big Mac,2025-12-19T00:00:00Z,"[""2025-12-19T00:00:00Z""]",Primária,,b43d96a9-8590-4562-a848-546a1f33fe18,2025-11-11 17:28:59.186687+00,2025-11-11 17:28:59.186687+00,3ec2ffe9-ca1f-481a-b3a3-6ce653a5abb4
085586a2-244f-42e4-8e0d-a8788006f98d,DLC Positiva,MOLHOS,Molho Habanero,2025-12-15T00:00:00Z,"[""2025-12-15T00:00:00Z""]",Primária,,b43d96a9-8590-4562-a848-546a1f33fe18,2025-11-11 17:07:10.461064+00,2025-11-11 17:07:10.461064+00,700016e3-f251-4494-920d-c769c0e6c732
0955c4bb-bbd0-4bbc-b61d-d39f79805699,DLC stock,SOBREMESAS,Snickers,2026-04-01T00:00:00Z,"[""2026-04-01T00:00:00Z"",""2026-06-01T00:00:00Z""]",Primária,,b43d96a9-8590-4562-a848-546a1f33fe18,2025-11-11 17:29:04.315875+00,2025-11-11 17:29:04.315875+00,3ec2ffe9-ca1f-481a-b3a3-6ce653a5abb4
0a4d935c-445e-428f-983a-e237d561def4,DLC stock,SOBREMESAS,Oreo,2026-08-01T00:00:00Z,"[""2026-08-01T00:00:00Z""]",Primária,,b43d96a9-8590-4562-a848-546a1f33fe18,2025-11-11 17:29:04.134676+00,2025-11-11 17:29:04.134676+00,3ec2ffe9-ca1f-481a-b3a3-6ce653a5abb4
0a9a912b-61f3-4619-8539-aac7b6d113fc,DLC Positiva,FRESCOS,Alface apollo,2025-11-15T00:00:00Z,"[""2025-11-15T00:00:00Z""]",Primária,,b43d96a9-8590-4562-a848-546a1f33fe18,2025-11-11 17:38:22.695519+00,2025-11-11 17:38:22.695519+00,f1520445-f10b-4b3c-9f10-db4f29d82724
0af4d437-2a3b-4aed-aadb-57d0227753c0,Sobremesas,,Kit kat,2025-12-01T00:00:00Z,"[""2025-12-01T00:00:00Z""]",Secundária,,b43d96a9-8590-4562-a848-546a1f33fe18,2025-11-11 00:06:18.018412+00,2025-11-11 00:06:18.018412+00,f1520445-f10b-4b3c-9f10-db4f29d82724
0b628682-70e3-4d13-83e0-b07e26d0f3d7,DLC stock,SOBREMESAS,M&M's,2026-02-01T00:00:00Z,"[""2026-02-01T00:00:00Z""]",Primária,,b43d96a9-8590-4562-a848-546a1f33fe18,2025-11-10 23:19:23.067672+00,2025-11-10 23:19:23.067672+00,700016e3-f251-4494-920d-c769c0e6c732
0b8de9e8-438e-4a6e-b6bd-cbd598cd2188,Sobremesas,,Chocolate,2025-12-01T00:00:00Z,"[""2025-12-01T00:00:00Z""]",Secundária,,b43d96a9-8590-4562-a848-546a1f33fe18,2025-11-11 17:38:30.498058+00,2025-11-11 17:38:30.498058+00,f1520445-f10b-4b3c-9f10-db4f29d82724
0b8ff28c-707b-4e3a-ab73-f8ddeb451aa0,DLC Positiva,BEBIDAS,Promo,2025-12-01T00:00:00Z,"[""2025-12-01T00:00:00Z""]",Primária,,b43d96a9-8590-4562-a848-546a1f33fe18,2025-11-11 17:07:11.713499+00,2025-11-11 17:07:11.713499+00,700016e3-f251-4494-920d-c769c0e6c732
